"Step","num_layers: 8 - Test/RangeResNorm","num_layers: 8 - Test/RangeResNorm__MIN","num_layers: 8 - Test/RangeResNorm__MAX","num_layers: 7 - Test/RangeResNorm","num_layers: 7 - Test/RangeResNorm__MIN","num_layers: 7 - Test/RangeResNorm__MAX","num_layers: 6 - Test/RangeResNorm","num_layers: 6 - Test/RangeResNorm__MIN","num_layers: 6 - Test/RangeResNorm__MAX","num_layers: 5 - Test/RangeResNorm","num_layers: 5 - Test/RangeResNorm__MIN","num_layers: 5 - Test/RangeResNorm__MAX","num_layers: 4 - Test/RangeResNorm","num_layers: 4 - Test/RangeResNorm__MIN","num_layers: 4 - Test/RangeResNorm__MAX","num_layers: 3 - Test/RangeResNorm","num_layers: 3 - Test/RangeResNorm__MIN","num_layers: 3 - Test/RangeResNorm__MAX","num_layers: 2 - Test/RangeResNorm","num_layers: 2 - Test/RangeResNorm__MIN","num_layers: 2 - Test/RangeResNorm__MAX","num_layers: 1 - Test/RangeResNorm","num_layers: 1 - Test/RangeResNorm__MIN","num_layers: 1 - Test/RangeResNorm__MAX"
"1","0.4353649318218231","0.32550346851348877","0.4945116937160492","0.28884143754839897","0.1992677003145218","0.3413843810558319","0.28930629044771194","0.2177099585533142","0.3318152129650116","0.2746548503637314","0.22405660152435303","0.3128860294818878","0.2178475633263588","0.17243152856826782","0.2795087695121765","0.18565024062991142","0.14271460473537445","0.22808212041854858","0.19178703799843788","0.10242891311645508","0.24863000214099884","0.1134057343006134","0.07763586938381195","0.1458449810743332"
"2","0.38997700810432434","0.31262680888175964","0.45858219265937805","0.27158360555768013","0.19788287580013275","0.34687602519989014","0.29342901334166527","0.20888115465641022","0.3433356285095215","0.27276117354631424","0.2175537347793579","0.32496586441993713","0.20813700184226036","0.16900084912776947","0.25789913535118103","0.17136139795184135","0.14744165539741516","0.1890956163406372","0.1515981238335371","0.09601063281297684","0.1980411410331726","0.10817445814609528","0.052609384059906006","0.19848766922950745"
"3","0.36854466050863266","0.28816860914230347","0.45960184931755066","0.26273032650351524","0.20386075973510742","0.3397754430770874","0.28401726111769676","0.2026098221540451","0.33718252182006836","0.26530006900429726","0.21008960902690887","0.32923996448516846","0.20887154340744019","0.1743318736553192","0.2588918209075928","0.16958851739764214","0.15410111844539642","0.18782658874988556","0.14277332462370396","0.09841341525316238","0.17678141593933105","0.1545073725283146","0.058413177728652954","0.42224547266960144"
"4","0.3693072572350502","0.2824316620826721","0.47344863414764404","0.26554757356643677","0.22411072254180908","0.3403111696243286","0.27316490933299065","0.2053624838590622","0.3244793117046356","0.26085418090224266","0.1959248185157776","0.3414207994937897","0.20711994543671608","0.17269647121429443","0.25968751311302185","0.1624399796128273","0.15410012006759644","0.17529091238975525","0.14479587599635124","0.09981241822242737","0.18190042674541473","0.07537616975605488","0.059967659413814545","0.11241248995065689"
"5","0.3684070110321045","0.26567772030830383","0.468852162361145","0.27360086888074875","0.23429271578788757","0.34705114364624023","0.2742389477789402","0.22058384120464325","0.3209826648235321","0.26455676555633545","0.19576112926006317","0.3592461347579956","0.21113750711083412","0.17840439081192017","0.2635367214679718","0.16357629746198654","0.14781297743320465","0.17393814027309418","0.14388609491288662","0.10683614760637283","0.17099562287330627","0.064937605522573","0.05664731189608574","0.07726328819990158"
"6","0.3529105708003044","0.25208234786987305","0.43837717175483704","0.29263554885983467","0.24457333981990814","0.3627438247203827","0.28674185648560524","0.24640406668186188","0.3273436725139618","0.27310412004590034","0.20506300032138824","0.3835715353488922","0.22168869897723198","0.1857396364212036","0.2736206352710724","0.17413359880447388","0.15754973888397217","0.1854417771100998","0.14562823250889778","0.1220247894525528","0.15980708599090576","0.06620518863201141","0.045805931091308594","0.08728024363517761"
"7","0.33916178345680237","0.2629111409187317","0.4212394058704376","0.3168165311217308","0.2583901286125183","0.37604182958602905","0.3080879971385002","0.27650174498558044","0.34151792526245117","0.28704798221588135","0.22977399826049805","0.39528781175613403","0.2360028512775898","0.1915571689605713","0.2846314311027527","0.1909857876598835","0.17247392237186432","0.20296479761600494","0.15392659604549408","0.13969461619853973","0.16539150476455688","0.07078246027231216","0.03906761109828949","0.0983588919043541"
"8","0.3341449648141861","0.28726303577423096","0.4131484031677246","0.33486904203891754","0.2746601104736328","0.38744330406188965","0.32802603393793106","0.3051687180995941","0.35488712787628174","0.30175063759088516","0.25528252124786377","0.40377330780029297","0.25529079884290695","0.20309552550315857","0.30431899428367615","0.2149718999862671","0.20076097548007965","0.22549092769622803","0.1655563861131668","0.15873344242572784","0.17729927599430084","0.0760524533689022","0.03750970959663391","0.10831008851528168"
"9","0.34381360560655594","0.27909231185913086","0.4205954372882843","0.3411846086382866","0.2767501771450043","0.3882041573524475","0.3454893156886101","0.32724425196647644","0.36039841175079346","0.3131583258509636","0.27504637837409973","0.39908286929130554","0.27361759170889854","0.21866871416568756","0.3215470612049103","0.24049924686551094","0.22969236969947815","0.2501637935638428","0.17955077439546585","0.16275544464588165","0.1915297508239746","0.08261808846145868","0.042201798409223557","0.11890842020511627"
"10","0.3575850799679756","0.3050995469093323","0.4190588891506195","0.3389724791049957","0.27543675899505615","0.3873247802257538","0.35379762947559357","0.34975677728652954","0.3620317876338959","0.32261165231466293","0.287945955991745","0.3952086269855499","0.2901710160076618","0.23826323449611664","0.33656278252601624","0.2653726562857628","0.255831241607666","0.2715662717819214","0.19506103917956352","0.1689986288547516","0.20946279168128967","0.0897440742701292","0.05067376047372818","0.1289144903421402"
