"Step","num_layers: 3 - Test/RangeResNorm","num_layers: 3 - Test/RangeResNorm__MIN","num_layers: 3 - Test/RangeResNorm__MAX","num_layers: 2 - Test/RangeResNorm","num_layers: 2 - Test/RangeResNorm__MIN","num_layers: 2 - Test/RangeResNorm__MAX","num_layers: 7 - Test/RangeResNorm","num_layers: 7 - Test/RangeResNorm__MIN","num_layers: 7 - Test/RangeResNorm__MAX","num_layers: 1 - Test/RangeResNorm","num_layers: 1 - Test/RangeResNorm__MIN","num_layers: 1 - Test/RangeResNorm__MAX","num_layers: 5 - Test/RangeResNorm","num_layers: 5 - Test/RangeResNorm__MIN","num_layers: 5 - Test/RangeResNorm__MAX","num_layers: 6 - Test/RangeResNorm","num_layers: 6 - Test/RangeResNorm__MIN","num_layers: 6 - Test/RangeResNorm__MAX","num_layers: 4 - Test/RangeResNorm","num_layers: 4 - Test/RangeResNorm__MIN","num_layers: 4 - Test/RangeResNorm__MAX","num_layers: 8 - Test/RangeResNorm","num_layers: 8 - Test/RangeResNorm__MIN","num_layers: 8 - Test/RangeResNorm__MAX"
"1","0.35141636431217194","0.3243606388568878","0.36960411071777344","0.2717306539416313","0.26367661356925964","0.28586646914482117","0.5371416658163071","0.5023974180221558","0.5517030358314514","0.1712450198829174","0.15834905207157135","0.17753218114376068","0.4736372157931328","0.4596056044101715","0.4838252067565918","0.5253240466117859","0.5046278834342957","0.5415561199188232","0.41234441846609116","0.38507723808288574","0.4319365918636322","0.5671410411596298","0.5402951240539551","0.581628680229187"
"2","0.3729261979460716","0.35996848344802856","0.38910171389579773","0.2959783300757408","0.2836279571056366","0.3086322844028473","0.49866294860839844","0.4842052161693573","0.5174919962882996","0.18372556939721107","0.17154642939567566","0.19625891745090485","0.45096229761838913","0.4439813792705536","0.4578237235546112","0.48994985967874527","0.47730568051338196","0.5033630728721619","0.43471788614988327","0.4137408137321472","0.46181854605674744","0.584184467792511","0.5661606192588806","0.6281535625457764"
"3","0.35890812426805496","0.3488399386405945","0.37097129225730896","0.30614686012268066","0.2957502603530884","0.31279292702674866","0.5118518695235252","0.49896684288978577","0.5222591161727905","0.20031265541911125","0.18622872233390808","0.21677903831005096","0.45383501797914505","0.4380423426628113","0.48897308111190796","0.48900100588798523","0.47147634625434875","0.4988795816898346","0.41117073595523834","0.4003312885761261","0.4298168420791626","0.5987904518842697","0.5371793508529663","0.6397159099578857"
"4","0.367756225168705","0.351003497838974","0.38499706983566284","0.30198410898447037","0.29337358474731445","0.31026583909988403","0.5381875932216644","0.5166221261024475","0.5550326108932495","0.2151108756661415","0.19992291927337646","0.23231713473796844","0.47945157438516617","0.46139246225357056","0.5192211866378784","0.5238462537527084","0.4976752996444702","0.54118412733078","0.4214838445186615","0.4087235927581787","0.4285532534122467","0.6193984150886536","0.5597971677780151","0.6677794456481934"
"5","0.3959970250725746","0.3795289695262909","0.41279861330986023","0.30928777158260345","0.2987826466560364","0.32164523005485535","0.5543124377727509","0.5463016033172607","0.5707447528839111","0.2241465039551258","0.20998822152614594","0.23823533952236176","0.495476096868515","0.4716193974018097","0.5291078686714172","0.5349516123533249","0.5017679333686829","0.5489068627357483","0.45027807354927063","0.44373494386672974","0.4587462246417999","0.6456671208143234","0.5776669979095459","0.6789517402648926"
"6","0.41557319462299347","0.405021995306015","0.4277811646461487","0.328188493847847","0.31848031282424927","0.34300386905670166","0.5795422792434692","0.5694839358329773","0.5941872596740723","0.2290162593126297","0.21638494729995728","0.24002820253372192","0.5134738758206367","0.4854196310043335","0.5709489583969116","0.5522063374519348","0.5090779066085815","0.5702764987945557","0.4694719538092613","0.4516221880912781","0.4782067835330963","0.655055359005928","0.5884606838226318","0.6836812496185303"
"7","0.43351103365421295","0.42480728030204773","0.4415523409843445","0.3483147621154785","0.33180898427963257","0.36752569675445557","0.6117248684167862","0.5961071848869324","0.6275107860565186","0.2338409163057804","0.22754651308059692","0.24422572553157806","0.5335472524166107","0.5120814442634583","0.5741977095603943","0.5858742892742157","0.5450324416160583","0.6073254942893982","0.48320696502923965","0.4622659683227539","0.5075165629386902","0.6635867208242416","0.6237049102783203","0.6897860169410706"
"8","0.46023590862751007","0.45358189940452576","0.47163549065589905","0.36218059808015823","0.3415803015232086","0.3797903060913086","0.6296270191669464","0.61232590675354","0.6409298181533813","0.24083800613880157","0.23158523440361023","0.2547215521335602","0.5534446239471436","0.5238444805145264","0.5915471315383911","0.6004988253116608","0.5609432458877563","0.6215532422065735","0.50716832280159","0.4860398769378662","0.5327466726303101","0.6715999096632004","0.646761417388916","0.692566454410553"
"9","0.48316647857427597","0.4787992537021637","0.48652324080467224","0.3777812793850899","0.3547767996788025","0.3977550268173218","0.6405570358037949","0.6152838468551636","0.6558322310447693","0.24985424056649208","0.2374712973833084","0.2661791741847992","0.566281646490097","0.5524243712425232","0.5813260078430176","0.6215546280145645","0.5943071246147156","0.6424536108970642","0.5262069255113602","0.506171703338623","0.5470057725906372","0.6805459409952164","0.6713383793830872","0.6944912672042847"
"10","0.5032446980476379","0.4984983205795288","0.5091902017593384","0.39759794622659683","0.3724345564842224","0.4194675385951996","0.6468562930822372","0.6218215227127075","0.6639907956123352","0.2586994245648384","0.24438679218292236","0.27769556641578674","0.5789744257926941","0.5676553249359131","0.5872472524642944","0.6328833848237991","0.6185513734817505","0.6466106176376343","0.5392842888832092","0.5231016874313354","0.5598719716072083","0.6848988980054855","0.6718286275863647","0.7035694718360901"
"11","0.5210912078619003","0.5185162425041199","0.5272527933120728","0.4129282757639885","0.3870159685611725","0.42880696058273315","0.6392557919025421","0.613608717918396","0.6620572805404663","0.2669776678085327","0.25293558835983276","0.2853696346282959","0.5851430743932724","0.5753700733184814","0.5919564962387085","0.6369338482618332","0.621493935585022","0.6504095792770386","0.5533934086561203","0.547479510307312","0.5605737566947937","0.6887623816728592","0.6695123314857483","0.7041096091270447"
"12","0.529220312833786","0.522978663444519","0.5364401340484619","0.428208626806736","0.3983127176761627","0.4432145655155182","0.6441473662853241","0.619556725025177","0.662952721118927","0.2750774919986725","0.2571127414703369","0.2936995327472687","0.591992199420929","0.5827912092208862","0.6054345369338989","0.6390576511621475","0.613196849822998","0.6512728929519653","0.5619081109762192","0.5559340715408325","0.5683163404464722","0.696268618106842","0.6757734417915344","0.7174500823020935"
"13","0.5406860858201981","0.5323026180267334","0.559055507183075","0.443833164870739","0.4168013036251068","0.4585358500480652","0.6432141363620758","0.609063982963562","0.6664570569992065","0.2828662544488907","0.26179590821266174","0.30237913131713867","0.5895565301179886","0.5773784518241882","0.6059514880180359","0.6452876776456833","0.6200577616691589","0.6657487750053406","0.5710395872592926","0.5546125173568726","0.5913845896720886","0.7042068392038345","0.6603458523750305","0.7392425537109375"
"14","0.5381084084510803","0.5307145714759827","0.55168616771698","0.45664141327142715","0.4319712221622467","0.4800346791744232","0.6454456299543381","0.6163414120674133","0.6648196578025818","0.29045436531305313","0.26598119735717773","0.31186643242836","0.5909850895404816","0.5849953293800354","0.5979758501052856","0.6412594765424728","0.6106613278388977","0.6615834832191467","0.5758575201034546","0.5594424605369568","0.5970790982246399","0.7150570899248123","0.6748040914535522","0.7557868957519531"
"15","0.5417951494455338","0.5322483777999878","0.5593916773796082","0.4661603346467018","0.4445003569126129","0.4884951710700989","0.6524551659822464","0.6150910258293152","0.6760483980178833","0.2979675531387329","0.2711044251918793","0.32035163044929504","0.5940535515546799","0.5820493102073669","0.6127684116363525","0.6430375277996063","0.6226252913475037","0.6564042568206787","0.580310508608818","0.5579471588134766","0.6158000826835632","0.7216448336839676","0.6666637063026428","0.7642874717712402"
"16","0.5406967401504517","0.5312423706054688","0.5571471452713013","0.47548573464155197","0.4570370018482208","0.4999997317790985","0.6584509462118149","0.6179095506668091","0.6862411499023438","0.3047158420085907","0.2765241861343384","0.3277437388896942","0.5970700085163116","0.5892698764801025","0.6070929169654846","0.6476292014122009","0.6162652969360352","0.6644434928894043","0.5797633677721024","0.555513858795166","0.6081750392913818","0.7296777069568634","0.6732172966003418","0.7619886994361877"
"17","0.540182575583458","0.5292466282844543","0.5546695590019226","0.479894183576107","0.47136324644088745","0.5004095435142517","0.6622178703546524","0.6228316426277161","0.6977365612983704","0.31200503557920456","0.28125235438346863","0.3357597589492798","0.5968993157148361","0.5897982716560364","0.6136571168899536","0.6453802138566971","0.6208615899085999","0.662849485874176","0.5862396210432053","0.559340238571167","0.6246667504310608","0.7260434478521347","0.6704278588294983","0.7562888860702515"
"18","0.5390603989362717","0.5275321006774902","0.5572526454925537","0.48462338000535965","0.47422873973846436","0.5044364929199219","0.6675358414649963","0.6177634596824646","0.7113619446754456","0.3187014237046242","0.28756681084632874","0.3437841236591339","0.5993416011333466","0.586511492729187","0.616394579410553","0.6482870727777481","0.6175268292427063","0.6704034209251404","0.5804644376039505","0.5550021529197693","0.6138500571250916","0.7287644296884537","0.6771764755249023","0.7551153898239136"
"19","0.5406652837991714","0.533486545085907","0.5580487251281738","0.48682738095521927","0.47495850920677185","0.5033124089241028","0.6804582923650742","0.6252456903457642","0.7241230607032776","0.3244473412632942","0.29297250509262085","0.35022443532943726","0.6050496101379395","0.5963325500488281","0.6163172125816345","0.652076780796051","0.6223697662353516","0.6742008328437805","0.586433619260788","0.5603043437004089","0.6180567145347595","0.731561154127121","0.6710962057113647","0.7583544254302979"
"20","0.5412587970495224","0.5293269753456116","0.560823917388916","0.48857612162828445","0.47462594509124756","0.5043273568153381","0.6827087104320526","0.6244021058082581","0.729507327079773","0.32970593124628067","0.2966345548629761","0.35634443163871765","0.6031543612480164","0.5933247208595276","0.6176700592041016","0.6544461995363235","0.6255841851234436","0.6778974533081055","0.5871493071317673","0.5574052333831787","0.6250485777854919","0.7318230420351028","0.6704791784286499","0.7606641054153442"
"21","0.5438197404146194","0.5306004285812378","0.5689173340797424","0.490454263985157","0.47649669647216797","0.5035966038703918","0.68854059278965","0.6286307573318481","0.7298863530158997","0.33472099155187607","0.3002978563308716","0.36285194754600525","0.6087798178195953","0.5894265174865723","0.6251136064529419","0.6608583182096481","0.6208803057670593","0.6905806064605713","0.5889551490545273","0.5637315511703491","0.609857439994812","0.7333660423755646","0.6842552423477173","0.7578684687614441"
"22","0.5444113165140152","0.5343105792999268","0.5666182041168213","0.49121587723493576","0.4734930694103241","0.5063381791114807","0.6951690763235092","0.6288570165634155","0.7304860949516296","0.3402819335460663","0.3075549900531769","0.36847037076950073","0.6170114874839783","0.5991441607475281","0.6360881328582764","0.6636830717325211","0.619793713092804","0.6963422298431396","0.5916866511106491","0.5648499727249146","0.6205365061759949","0.7369798272848129","0.6880157589912415","0.7591589689254761"
"23","0.5470049381256104","0.5320354104042053","0.5688613653182983","0.49046555161476135","0.475624144077301","0.5015162229537964","0.700689509510994","0.6315651535987854","0.7391254901885986","0.34410082548856735","0.312153697013855","0.37216416001319885","0.6183247864246368","0.591728687286377","0.6432809233665466","0.6687188297510147","0.6282818913459778","0.7076795697212219","0.5944343954324722","0.5633843541145325","0.6224234104156494","0.7388750910758972","0.6976379156112671","0.7611104249954224"
"24","0.5469856858253479","0.5338296890258789","0.5757721662521362","0.4919883608818054","0.473110169172287","0.5062154531478882","0.7048438638448715","0.6367285847663879","0.7417601346969604","0.34813757985830307","0.3149251639842987","0.3762357831001282","0.6279610842466354","0.6055166125297546","0.6529116630554199","0.6724384874105453","0.6163527369499207","0.7205677032470703","0.5956802666187286","0.5657910704612732","0.6168440580368042","0.7400079369544983","0.7054833769798279","0.760780394077301"
"25","0.5486142933368683","0.5318585634231567","0.5745693445205688","0.49290739744901657","0.4753188490867615","0.5071277022361755","0.7078641653060913","0.6409288048744202","0.7409789562225342","0.3522718995809555","0.320988267660141","0.3803853988647461","0.6309614032506943","0.6025024652481079","0.6598339676856995","0.6779605895280838","0.6228476762771606","0.7247320413589478","0.602805107831955","0.5677841305732727","0.6291574835777283","0.7439626455307007","0.7218335270881653","0.76043301820755"
"26","0.552885428071022","0.5392997860908508","0.580645740032196","0.4951419159770012","0.4743083417415619","0.5091802477836609","0.7101298719644547","0.6497496366500854","0.7370939254760742","0.35547368973493576","0.32518354058265686","0.382586270570755","0.6374288648366928","0.6098683476448059","0.6667370796203613","0.6854918152093887","0.6306446194648743","0.7284331917762756","0.6041834801435471","0.5713933110237122","0.6274680495262146","0.7484809905290604","0.7321593761444092","0.7610935568809509"
"27","0.5559370070695877","0.5380837321281433","0.5863761901855469","0.4945225939154625","0.47522270679473877","0.510306179523468","0.712457463145256","0.658599317073822","0.7352374792098999","0.35839448869228363","0.3280943036079407","0.3855918049812317","0.6427498757839203","0.6150931715965271","0.6707065105438232","0.6884954869747162","0.6219295263290405","0.7310802936553955","0.6068420708179474","0.5709814429283142","0.6356444954872131","0.7512508183717728","0.7426102757453918","0.7611119151115417"
"28","0.5573417693376541","0.5425688028335571","0.5933064222335815","0.4980156347155571","0.47635263204574585","0.5125743746757507","0.714338630437851","0.6620236039161682","0.7346831560134888","0.36120402812957764","0.3328646421432495","0.38718292117118835","0.6479562371969223","0.6253215670585632","0.6728447079658508","0.6891583502292633","0.6193280220031738","0.727109968662262","0.6087836176156998","0.5788716077804565","0.6325581669807434","0.7541400492191315","0.7490774989128113","0.7638729810714722"
"29","0.5603338479995728","0.5388553738594055","0.5947779417037964","0.496913880109787","0.4736417531967163","0.5140655636787415","0.7179434299468994","0.6735538840293884","0.7366176247596741","0.3638499230146408","0.33713600039482117","0.38886699080467224","0.6501655578613281","0.6282885074615479","0.6733453869819641","0.6949868351221085","0.6381514668464661","0.7247001528739929","0.6124509423971176","0.5787092447280884","0.6365700960159302","0.7540211230516434","0.7482030391693115","0.7650231122970581"
"30","0.5665325373411179","0.5482016801834106","0.6006984114646912","0.5018570274114609","0.4789775609970093","0.5186796188354492","0.7207875102758408","0.6862725019454956","0.7363923192024231","0.3653230220079422","0.33927851915359497","0.38867053389549255","0.6529804915189743","0.6347366571426392","0.6704840064048767","0.6968443095684052","0.6334152817726135","0.7312034368515015","0.6148025393486023","0.582119882106781","0.6426717638969421","0.7555438280105591","0.7491629123687744","0.764790415763855"
"31","0.5693205893039703","0.5451214909553528","0.6057846546173096","0.5021113008260727","0.4763130843639374","0.5211362838745117","0.7246647030115128","0.6971785426139832","0.7381106019020081","0.36749348044395447","0.3431686758995056","0.3901735842227936","0.6571018248796463","0.6460301876068115","0.6718578934669495","0.6960168033838272","0.629530131816864","0.7302746176719666","0.6195776462554932","0.5862136483192444","0.6497844457626343","0.7535920888185501","0.7472329139709473","0.7643857002258301"
"32","0.5746115446090698","0.5546578764915466","0.6097963452339172","0.505248986184597","0.4781060516834259","0.5253622531890869","0.7237892001867294","0.701895534992218","0.7381647825241089","0.3691036179661751","0.34600621461868286","0.39039406180381775","0.6625850349664688","0.6511446833610535","0.6732208728790283","0.6986022442579269","0.6439127326011658","0.7276940941810608","0.6208558678627014","0.5915178656578064","0.6520553231239319","0.753361701965332","0.7461991906166077","0.7623972296714783"
"33","0.5788276940584183","0.5523520708084106","0.6112586855888367","0.5073834359645844","0.47997522354125977","0.529224157333374","0.7260170578956604","0.702679455280304","0.7380847930908203","0.37082725763320923","0.3481147885322571","0.39043402671813965","0.665886640548706","0.6548818349838257","0.6740776300430298","0.7008591145277023","0.6510655879974365","0.7315344214439392","0.6237763017416","0.5967004299163818","0.652246356010437","0.7540555000305176","0.747789204120636","0.7627035975456238"
"34","0.5850517749786377","0.5587589144706726","0.6161753535270691","0.509997546672821","0.47839343547821045","0.5319525599479675","0.726462796330452","0.7030497193336487","0.7381201386451721","0.37226829677820206","0.35126006603240967","0.3914002478122711","0.6674725264310837","0.6531187891960144","0.6843713521957397","0.702860414981842","0.6537471413612366","0.7357559204101562","0.6286809891462326","0.6008369326591492","0.6601544618606567","0.7547208368778229","0.751073956489563","0.76408851146698"
"35","0.587615117430687","0.5644516348838806","0.613678514957428","0.5132092162966728","0.48378893733024597","0.536487340927124","0.7265773713588715","0.7029380798339844","0.7381080389022827","0.373654343187809","0.3540051281452179","0.39094820618629456","0.6699669659137726","0.6531901955604553","0.6907253265380859","0.7044537216424942","0.6584128737449646","0.7343222498893738","0.6319154351949692","0.6059402227401733","0.6651788353919983","0.7573930621147156","0.7494440078735352","0.7665005326271057"
"36","0.5918713957071304","0.56887286901474","0.6139946579933167","0.5148510038852692","0.48074495792388916","0.5394940376281738","0.7274649143218994","0.7037003040313721","0.7380005121231079","0.3751137778162956","0.3541606664657593","0.3922675549983978","0.6694357991218567","0.652603805065155","0.6928676962852478","0.7075457721948624","0.6701657176017761","0.7353261113166809","0.6372967511415482","0.6090056300163269","0.6696784496307373","0.7555651962757111","0.7473813891410828","0.7657999992370605"
